City_ID,City,Country,Date,Lat,Lng,Current Description,Max Temp,Humidity,Cloudiness,Wind Speed
60,Ugoofaaru,MV,2022-10-06 04:27:40,5.6667,73.0,overcast clouds,81.91,79,100,16.04
61,Keskin,TR,2022-10-06 04:27:40,39.6731,33.6136,broken clouds,48.06,79,71,7.61
62,Prabumulih,ID,2022-10-06 04:27:41,-3.45,104.25,overcast clouds,88.11,64,100,1.34
63,Cabedelo,BR,2022-10-06 04:27:41,-6.9811,-34.8339,few clouds,75.87,87,24,9.35
64,Lima,PE,2022-10-06 04:27:38,-12.0432,-77.0282,overcast clouds,57.9,84,100,9.22
65,Palmer,US,2022-10-06 04:23:12,42.1584,-72.3287,light rain,58.77,86,100,1.01
66,Mar Del Plata,AR,2022-10-06 04:27:26,-38.0023,-57.5575,mist,56.95,89,97,1.99
67,Cabo San Lucas,MX,2022-10-06 04:26:57,22.8909,-109.9124,broken clouds,82.51,64,59,1.99
68,Great Falls,US,2022-10-06 04:27:42,47.5002,-111.3008,clear sky,63.68,58,0,5.75
69,Tasiilaq,GL,2022-10-06 04:27:42,65.6145,-37.6368,broken clouds,30.36,48,82,6.46
70,Garmsar,IR,2022-10-06 04:27:43,35.2182,52.3409,clear sky,76.86,20,0,6.31
71,Half Moon Bay,US,2022-10-06 04:27:43,37.4636,-122.4286,mist,67.62,88,100,13.8
72,Fortuna,US,2022-10-06 04:27:44,40.5982,-124.1573,broken clouds,58.35,86,72,1.01
73,Vaini,TO,2022-10-06 04:27:44,-21.2,-175.2,broken clouds,80.76,89,75,3.44
74,Vanimo,PG,2022-10-06 04:27:44,-2.6741,141.3028,overcast clouds,85.57,70,92,10.0
75,Geraldton,AU,2022-10-06 04:27:45,-28.7667,114.6,overcast clouds,68.41,40,100,16.11
76,Avarua,CK,2022-10-06 04:27:45,-21.2078,-159.775,scattered clouds,77.05,73,40,14.97
77,Pangai,TO,2022-10-06 04:27:45,-19.8,-174.35,broken clouds,80.71,78,75,8.05
78,Port Lincoln,AU,2022-10-06 04:27:46,-34.7333,135.8667,scattered clouds,68.13,59,25,7.78
79,Cherskiy,RU,2022-10-06 04:27:46,68.75,161.3,light snow,30.51,96,100,15.41
80,Roebourne,AU,2022-10-06 04:27:46,-20.7833,117.1333,clear sky,88.03,24,0,6.64
81,Vila Velha,BR,2022-10-06 04:26:38,-20.3297,-40.2925,overcast clouds,73.35,88,100,6.91
82,Taoudenni,ML,2022-10-06 04:27:47,22.6783,-3.9836,broken clouds,90.36,14,51,8.88
83,Hermanus,ZA,2022-10-06 04:27:47,-34.4187,19.2345,scattered clouds,54.82,82,27,13.58
