City_ID,City,Country,Current Description,Max Temp,Lat,Lng,Hotel Name
181,Shimoda,JP,overcast clouds,57.56,34.6667,138.95,Shimoda
182,Hamilton,US,clear sky,58.77,39.1834,-84.5333,Cincinnati
186,Fokino,RU,scattered clouds,49.35,42.9836,132.4047,Fokino
188,Antofagasta,CL,clear sky,56.48,-23.65,-70.4,Antofagasta
189,Chioggia,IT,broken clouds,63.09,45.2256,12.2889,Venice
191,Hammerfest,NO,broken clouds,43.25,70.6634,23.6821,Hammerfest
192,Northam,GB,clear sky,56.61,51.0333,-4.2167,Bideford
193,Inta,RU,light rain,40.89,66.0317,60.1659,Inta
200,Backo Petrovo Selo,RS,overcast clouds,51.94,45.7081,20.0753,Bečej
201,Tongchuan,CN,overcast clouds,50.68,35.0806,109.0897,Tongchuan
203,Kaitangata,NZ,broken clouds,42.98,-46.2817,169.8464,Kaitangata
204,Bichura,RU,broken clouds,44.47,50.5881,107.6022,Bichura
205,Mandalgovi,MN,few clouds,46.26,45.7625,106.2708,Mandalgovi
207,Burnie,AU,overcast clouds,52.95,-41.0667,145.9167,Burnie
208,Kuito,AO,scattered clouds,60.39,-12.3833,16.9333,Kuito
210,Huangzhai,CN,overcast clouds,46.81,38.0751,112.6595,Taiyuan
211,Necochea,AR,overcast clouds,52.92,-38.5473,-58.7368,Necochea
213,Pinega,RU,overcast clouds,45.12,64.7001,43.3936,Pinega
214,Flinders,AU,light rain,62.38,-34.5833,150.8552,Wollongong
216,Izhma,RU,overcast clouds,42.31,65.0083,53.9113,Izhma
217,Arraial Do Cabo,BR,overcast clouds,68.92,-22.9661,-42.0278,Cabo Frio
218,Saint-Dizier,FR,overcast clouds,55.0,48.4167,5.0833,Joinville
220,Menongue,AO,broken clouds,62.26,-14.6585,17.691,Menongue
223,Hokitika,NZ,few clouds,47.71,-42.7167,170.9667,Hokitika
224,Bar Harbor,US,light rain,58.46,44.3876,-68.2039,Bar Harbor
225,Kosa,RU,overcast clouds,43.86,59.9445,54.9977,Kosa
227,Taltal,CL,clear sky,59.45,-25.4,-70.4833,Taltal
229,Jumla,NP,overcast clouds,55.78,29.2747,82.1838,Chandannath
230,Punta Alta,AR,overcast clouds,52.5,-38.8759,-62.0736,Punta Alta
234,Santa Elena,EC,broken clouds,67.75,-2.2333,-80.85,La Libertad
236,Troitsko-Pechorsk,RU,light rain,41.14,62.7084,56.1964,Troitsko-Pechorsk
237,Markivka,UA,scattered clouds,46.76,49.5229,39.5705,Markivka
238,Nyirlugos,HU,overcast clouds,43.99,47.6932,22.0448,Nyíradony
240,Uvalde,US,clear sky,68.99,29.3669,-99.767,Rock Bottom Ranch
242,Beyneu,KZ,broken clouds,61.45,45.3167,55.2,Beyneu
244,Kuremaa,EE,overcast clouds,53.28,58.7353,26.5383,Kuremaa
245,Mayskiy,RU,overcast clouds,42.21,47.6931,40.1025,Shakhty
246,Zhaodong,CN,clear sky,50.74,46.0833,125.9833,Suihua
247,Dodge City,US,clear sky,63.21,37.7528,-100.0171,Dodge City
